"Name","PackageFullName"
"Microsoft.WindowsSoundRecorder","Microsoft.WindowsSoundRecorder_1.1.119.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsStore","Microsoft.WindowsStore_22607.1401.7.0_x64__8wekyb3d8bbwe"
"Microsoft.WindowsTerminal","Microsoft.WindowsTerminal_1.24.11911.0_x64__8wekyb3d8bbwe"
"Microsoft.Xbox.TCUI","Microsoft.Xbox.TCUI_1.24.10001.0_x64__8wekyb3d8bbwe"
"Microsoft.XboxGameCallableUI","Microsoft.XboxGameCallableUI_1000.25128.1000.0_neutral_neutral_cw5n1h2txyewy"
"Microsoft.XboxGamingOverlay","Microsoft.XboxGamingOverlay_7.326.8061.0_x64__8wekyb3d8bbwe"
"Microsoft.XboxIdentityProvider","Microsoft.XboxIdentityProvider_12.130.16001.0_x64__8wekyb3d8bbwe"
"Microsoft.XboxSpeechToTextOverlay","Microsoft.XboxSpeechToTextOverlay_1.111.30001.0_x64__8wekyb3d8bbwe"
"Microsoft.ZuneMusic","Microsoft.ZuneMusic_11.2606.19.0_x64__8wekyb3d8bbwe"
"MicrosoftWindows.54792954.Filons","MicrosoftWindows.54792954.Filons_1000.26100.6584.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.57242383.Tasbar","MicrosoftWindows.57242383.Tasbar_1000.26100.8737.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.59336768.Speion","MicrosoftWindows.59336768.Speion_1000.26100.7462.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.59337133.Voiess","MicrosoftWindows.59337133.Voiess_1000.26100.7462.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.59337145.Livtop","MicrosoftWindows.59337145.Livtop_1000.26100.7462.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.59379618.InpApp","MicrosoftWindows.59379618.InpApp_1000.26100.7462.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.61869720.Voiess","MicrosoftWindows.61869720.Voiess_1000.26100.8972.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.61869721.Livtop","MicrosoftWindows.61869721.Livtop_1000.26100.8972.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.61869722.Speion","MicrosoftWindows.61869722.Speion_1000.26100.8972.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.61869836.InpApp","MicrosoftWindows.61869836.InpApp_1000.26100.8972.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.Client.CBS","MicrosoftWindows.Client.CBS_1000.26100.344.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.Client.Core","MicrosoftWindows.Client.Core_1000.26100.131.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.Client.CoreAI","MicrosoftWindows.Client.CoreAI_1000.26100.9168.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.Client.FileExp","MicrosoftWindows.Client.FileExp_1000.26100.9.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.Client.OOBE","MicrosoftWindows.Client.OOBE_1000.26100.52.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.Client.Photon","MicrosoftWindows.Client.Photon_1000.26100.10.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.Client.WebExperience","MicrosoftWindows.Client.WebExperience_526.21100.40.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.CrossDevice","MicrosoftWindows.CrossDevice_0.26071.84.0_x64__cw5n1h2txyewy"
"MicrosoftWindows.UndockedDevKit","MicrosoftWindows.UndockedDevKit_10.0.26100.1_neutral_neutral_cw5n1h2txyewy"
"NVIDIACorp.NVIDIAControlPanel","NVIDIACorp.NVIDIAControlPanel_8.1.969.0_x64__56jybvy8sckqj"
"RealtekSemiconductorCorp.RealtekAudioControl","RealtekSemiconductorCorp.RealtekAudioControl_1.1.137.0_x64__dt26b99r8h8gj"
"Windows.CBSPreview","Windows.CBSPreview_10.0.19580.1000_neutral_neutral_cw5n1h2txyewy"
"windows.immersivecontrolpanel","windows.immersivecontrolpanel_10.0.8.1000_neutral_neutral_cw5n1h2txyewy"
"Windows.PrintDialog","Windows.PrintDialog_6.2.3.0_neutral_neutral_cw5n1h2txyewy"
